code,group,task_id,llm,description,main_flow,alt_flow,time,grad_phd_01,note01,grad_phd_02,note02,grad_mean,grade_llm,note_llm
P011,G1,1 - TechFix,No,"Título da história de usuário: Votação em respostas úteis 
Descrição: EU COMO: Usuário da plataforma
GOSTARIA DE: Votar em respostas úteis
PARA: Ajudar outros usuários","DADO QUE: Estou logado
E: Vejo respostas de especialistas em um chamado
E: Uma delas resolveu meu problema
QUANDO: Clico em “Votar como útil”
E: O especialista ganha pontos
E: A resposta pode ser destacada","DADO QUE: Estou navegando sem login
QUANDO: Tento votar como útil
ENTÃO: Sou redirecionado para login
E: Após login, volto à resposta e posso votar",17,10,,10,,10,88,Fluxos claros e coerentes; segue template; criatividade moderada no alternativo.
P012,G2,1 - TechFix,Yes,"Título: Cadastro de Chamado Técnico pelo Usuário

DESCRIÇÃO
EU COMO: Usuário da plataforma TechFix
GOSTARIA DE: Registrar um chamado técnico detalhando meu problema
PARA: Receber sugestões de solução por parte de especialistas da comunidade","CASO DE USO (Fluxo Principal)
DADO QUE: o usuário está logado na plataforma
E: acessa a seção de “Abrir Chamado”
E: preenche as informações obrigatórias como título, descrição do problema e categoria
QUANDO: clica no botão “Enviar Chamado”
ENTÃO: o chamado é registrado no sistema
E: fica disponível para visualização por especialistas
E: o usuário recebe uma notificação de confirmação de cadastro do chamado","CASO DE USO (Fluxo Alternativo)
DADO QUE: o usuário está logado na plataforma
E: acessa a seção de “Abrir Chamado”
E: deixa de preencher um ou mais campos obrigatórios (como título ou descrição)
QUANDO: tenta clicar no botão “Enviar Chamado”
ENTÃO: o sistema exibe uma mensagem de erro indicando os campos obrigatórios ausentes
E: impede o envio do chamado até que todas as informações necessárias sejam preenchidas",7,10,,10,,10,90,Estrutura completa; atende template e enunciado; falta diferencial extra.
P013,G2,1 - TechFix,Yes,"DESCRIÇÃO

EU COMO: Usuário comum com dificuldades técnicas
GOSTARIA DE: Relatar um problema técnico na plataforma
PARA: Receber ajuda de especialistas e encontrar uma solução rapidamente","CASOS DE USO
Fluxo Principal – Cadastro de Chamado

DADO QUE: Estou logado na plataforma
E estou enfrentando um problema técnico
E tenho acesso ao formulário de novos chamados
QUANDO: Eu preencho o formulário com o título, descrição e categoria do problema e clico em ""Enviar""
ENTÃO: Um novo chamado é registrado no sistema
E especialistas são notificados com base na categoria escolhida
E o chamado fica visível na página principal para que especialistas possam respondê-lo","Fluxo Alternativo – Votação em Resposta

DADO QUE: Eu já tenho um chamado com respostas de especialistas
E estou logado na plataforma
QUANDO: Eu leio uma resposta útil e clico no botão de ""Votar como útil""
ENTÃO: A resposta recebe um voto positivo
E o especialista responsável ganha pontos no sistema de pontuação
E a resposta é priorizada visualmente entre as demais",13,5,Desalilhamento do conceito de Fluxo Alternativo.,5,Faltou a descrição da História de Usuário,5,87,Bom preenchimento e integração de votação; poderia explicitar “DESCRIÇÃO”.
P014,G1,1 - TechFix,No,"Cadastro de problemas técnicos.
EU COMO: Usuário do sistema.
GOSTARIA DE: Relatar um problema técnico.
PARA: Que técnicos, e especialistas possam sugerir soluções.","CASOS DE USO (Cadastro de chamados)
DADO QUE: Estou dentro do sistema.
E estou com problemas técnicos.
QUANDO: Entro no sistema e tento preencher o campo de descrição.
ENTÃO: Não consigo cadastrar um problema. ","CASOS DE USO (Notificações)
DADO QUE: Estou dentro do sistema.
E estou com problemas técnicos.
QUANDO: Faço o cadastro do problema técnico e fico sem receber notificações de resposta.
ENTÃO: Não consigo saber se alguém tirou minha dúvida.  ",18,5,Não entendeu o conceito de fluxo principal.,10,,7.5,60,Fluxo principal inválido (impede em vez de registrar); muito genérico.
P015,G2,1 - TechFix,Yes,"EU COMO: Usuário da plataforma TechFix
GOSTARIA DE: Relatar um problema técnico detalhado
PARA: Receber sugestões de solução de especialistas e resolver o problema rapidamente","Fluxo Principal – Cadastro de Chamado Técnico
DADO QUE: Estou logado na plataforma
E: Estou na página de abertura de chamados
E: Preencho o formulário com título, descrição e categoria do problema
QUANDO: Clico no botão ""Enviar Chamado""
ENTÃO: O sistema cadastra o chamado e o disponibiliza para os especialistas visualizarem
E: Eu recebo uma notificação confirmando o registro do chamado","Fluxo Alternativo – Tentativa de Cadastro com Formulário Incompleto
DADO QUE: Estou logado na plataforma
E: Estou na página de abertura de chamados
E: Preencho apenas o título, deixando a descrição em branco
QUANDO: Clico no botão ""Enviar Chamado""
ENTÃO: O sistema exibe uma mensagem de erro informando que todos os campos obrigatórios devem ser preenchidos
E: O chamado não é cadastrado até que todas as informações sejam completadas",7,10,Note que tem muitos fluxos alternativos semelhantes a este. Falta de criatividade ou plágio?,5,Faltou a descrição da História de Usuário,7.5,89,Clara e completa; fluxo alternativo adequado; funcionalidade básica.
P016,G2,1 - TechFix,Yes,"Título: Cadastro de Chamado Técnico por Usuário
DESCRIÇÃO
EU COMO: Usuário da plataforma TechFix
GOSTARIA DE: Registrar um chamado técnico relatando meu problema
PARA: Receber ajuda de especialistas de forma mais rápida e organizada","CASO DE USO (Fluxo Principal)
DADO QUE: o usuário está logado na plataforma TechFix
E: acessa a seção de chamados
E: possui um problema técnico a ser relatado
QUANDO: preenche o formulário de cadastro de chamado com a descrição do problema, categoria e nível de urgência
ENTÃO: o chamado é registrado com sucesso e fica disponível para visualização pelos especialistas","CASO DE USO (Fluxo Alternativo)
DADO QUE: o usuário está logado na plataforma TechFix
E: acessa a seção de chamados
E: tenta preencher o formulário de cadastro de chamado
QUANDO: deixa campos obrigatórios em branco ou insere informações inválidas
ENTÃO: o sistema exibe mensagens de erro e impede o envio até que o formulário esteja corretamente preenchido",6,10,òtimo!,10,,10,90,"Segue completo o template, fluxos claros e bem detalhados; criatividade mediana (padrão)."
P017,G1,1 - TechFix,No,"HISTÓRIA DE USUÁRIO
Cadastro de chamados
EU COMO: usuário
GOSTARIA DE: cadastrar meus chamados
PARA: que meus problemas técnicos sejam resolvidos.","CASO DE USO (Fluxo Principal) - Cadastrar um problema técnico

DADO QUE: eu tenha credenciais válidas
E tenho inserido elas corretamente
QUANDO: inserir meu problema técnico no chamado
ENTÃO: então ele será cadastrado e um especialista poderá sugerir uma solução.","CASO DE USO (Fluxo Alternativo) - Credenciais inválidas

DADO QUE: eu não tenha credenciais válidas
E eu insira elas no sistema
QUANDO: eu apertar o botão de login
ENTÃO: ocorrerá um erro e não conseguirei entrar no sistema.",16,10,,10,,10,65,"Muito genérico, falta “DESCRIÇÃO” no template e fluxo alternativo não se relaciona ao enunciado"
P018,G2,1 - TechFix,Yes,"Registro de chamado técnico por usuário
EU COMO: Usuário 
GOSTARIA DE: Registrar um chamado com a descrição do problema que estou enfrentando
PARA: Receber sugestões de solução dos especialistas da comunidade TechFix","Fluxo Principal: Registro de chamado técnico

DADO QUE: o usuário está autenticado na plataforma
E está na página de abertura de chamados
E possui todas as informações sobre o problema

QUANDO: ele preenche o formulário com a descrição do problema e clica em “Registrar Chamado”

ENTÃO: o chamado é criado no sistema
E os especialistas recebem uma notificação sobre o novo chamado
E o chamado fica visível no feed público da plataforma","Fluxo Alternativo: Tentativa de registrar chamado sem estar autenticado

DADO QUE: o usuário acessa a plataforma sem estar autenticado
E tenta acessar a funcionalidade de abertura de chamados

QUANDO: clica em “Registrar Chamado”

ENTÃO: o sistema redireciona o usuário para a página de login
E exibe uma mensagem informando que é necessário estar logado para registrar chamados",6,10,,10,,10,88,"Estrutura consistente, fluxos principal e alternativo adequados; pouca originalidade."
P019,G1,1 - TechFix,No,"ACESSO AO SISTEMA
EU COMO: <Aluno> 
GOSTARIA DE: <visualizar meu perfil>
PARA: <alterar meu dados pessoais>","CASOS DE USO (Fluxo principal)
DADO QUE: <aluno já é cadastrado no sistema>
E <login foi aceito>
QUANDO: <aluno estiver na página perfil de usuário>
ENTÃO: <liste os dados pessoais do aluno> ","CASOS DE USO (Fluxo alternativo)
DADO QUE: <aluno na página perfil de usuário>
E <identificou um e-mail antigo>
QUANDO: <aluno selecionar o botão ""editar"">
ENTÃO: <abra os dados para o aluno realizar a alteração> ",15,5,Não usou adequadamente o template. Fugiu do tema TechFix,5,Não usou o template da forma correta.,5,50,"Fora do escopo TechFix, sem contexto de chamados ou especialistas; template genérico demais."
P001,G2,2 - GreenMarket,No,"Título: Assinar entregas semanais de produtos orgânicos

DESCRIÇÃO
EU COMO: Consumidor recorrente do GreenMarket.
GOSTARIA DE: Assinar um plano de entrega semanal de produtos orgânicos
PARA: Receber alimentos frescos e de qualidade em casa sem precisar fazer pedidos manuais toda semana.","CASO DE USO – Fluxo Principal: Assinar entregas semanais

DADO QUE o usuário está logado no aplicativo
E já selecionou seu endereço de entrega
E navegou até a seção de ""Planos de Assinatura""
QUANDO seleciona um plano semanal e confirma o pagamento
ENTÃO a assinatura é ativada com sucesso
E o usuário recebe a confirmação por e-mail
E as próximas entregas são agendadas automaticamente conforme o plano escolhido","CASO DE USO – Fluxo Alternativo: Pausar entregas da assinatura

DADO QUE o usuário possui uma assinatura ativa
E deseja pausar as entregas por um período
QUANDO acessa a área de ""Minhas Assinaturas"" e escolhe a opção ""Pausar Entregas""
ENTÃO a assinatura é temporariamente suspensa
E o usuário pode definir a data de reativação automática ou optar por reativar manualmente depois
E não são cobradas entregas durante o período pausado",8,5,Não entendeu corretamente o conceito de Fluxo Alternativo.,10,,7.5,85,"História bem escrita e fluxos completos; domínio diferente (GreenMarket), mas tecnicamente sólida."
P002,G1,2 - GreenMarket,Yes,"Título: Assinatura Semanal de Produtos Orgânicos
DESCRIÇÃO: Sistema de assinatura semanal para entrega de produtos orgânicos aos consumidores.
EU COMO: Consumidor consciente que preza por produtos saudáveis e sustentáveis
GOSTARIA DE: Assinar uma entrega recorrente de frutas e verduras orgânicas
PARA: Receber semanalmente produtos frescos, sem precisar fazer novos pedidos toda vez","Fluxo Principal
DADO QUE: o consumidor está logado no aplicativo
E possui endereço e forma de pagamento cadastrados
E há planos de assinatura disponíveis para sua região

QUANDO: ele seleciona um plano de assinatura e confirma a contratação

ENTÃO: o sistema ativa a assinatura, agenda as entregas semanais e envia a confirmação por e-mail

","Fluxo Alternativo (Região sem cobertura)
DADO QUE: o consumidor está logado no aplicativo
E possui endereço e forma de pagamento cadastrados
E não há planos de assinatura disponíveis para sua região

QUANDO: ele tenta selecionar um plano de assinatura

ENTÃO: o sistema exibe a mensagem “Ainda não entregamos na sua região” e oferece a opção de notificação por e-mail futuramente",5,10,,10,,10,90,"Escrita clara, segue completamente o template, fluxos principal e alternativo bem definidos; criatividade padrão."
P003,G1,2 - GreenMarket,Yes,"Título: Assinatura Semanal de Produtos Orgânicos
DESCRIÇÃO
EU COMO: Consumidor do aplicativo GreenMarket
GOSTARIA DE: Assinar uma entrega semanal de produtos orgânicos
PARA: Receber automaticamente uma seleção de produtos frescos e certificados em casa sem precisar refazer o pedido toda semana","Fluxo Principal – Assinatura de Entrega Semanal
DADO QUE: Estou logado no aplicativo
E: Tenho um endereço de entrega cadastrado
E: Meu método de pagamento está ativo e válido
QUANDO: Eu seleciono a opção “Assinatura Semanal” e escolho os produtos ou o tipo de cesta que desejo receber
ENTÃO: O sistema confirma a assinatura
E: Mostra a data da próxima entrega
E: Passa a agendar entregas automáticas semanais com cobrança recorrente","Fluxo Alternativo – Falha na Assinatura por Cartão Inválido
DADO QUE: Estou logado no aplicativo
E: Tenho um endereço de entrega cadastrado
E: Meu método de pagamento está expirado ou inválido
QUANDO: Eu tento finalizar a assinatura semanal
ENTÃO: O sistema exibe uma mensagem de erro informando problema no pagamento
E: Solicita que eu atualize meus dados de pagamento para concluir a assinatura",9,10,,10,,10,90,"Estrutura robusta e cobre falha de pagamento; leve falta de título explícito, mas cumpre o enunciado."
P004,G1,2 - GreenMarket,Yes,"TEMPLATE - HISTÓRICO DE PEDIDOS
DESCRIÇÃO
Permitir que o consumidor visualize os pedidos anteriores realizados no aplicativo, com detalhes como data da compra, itens adquiridos, valor total e status da entrega
EU COMO: Consumidor do GreenMarket
GOSTARIA DE: acessar o histórico de pedidos
PARA: acompanhar compras passadas, conferir valores e repetir pedidos com facilidade","CASO DE USO – Fluxo Principal: Visualizar Histórico de Pedidos
DADO QUE: o usuário está logado no aplicativo
E: tenha realizado pelo menos um pedido anteriormente
QUANDO: ele acessar a seção ""Histórico de Pedidos"" no menu principal
ENTÃO: o sistema deve exibir uma lista de pedidos anteriores com data, valor e status de entrega.","CASO DE USO – Fluxo Alternativo: Sem Pedidos Anteriores
DADO QUE: o usuário está logado no aplicativo
E: nunca realizou um pedido
QUANDO: ele acessar a seção ""Histórico de Pedidos""
ENTÃO: o sistema deve exibir uma mensagem amigável como “Você ainda não realizou nenhum pedido. Explore nossos produtos e faça sua primeira compra!”",3,10,,10,,10,89,"Preenche todo o template, fluxos coerentes; falta um toque de originalidade além do básico."
P005,G1,2 - GreenMarket,Yes,"DESCRIÇÃO
EU COMO: Consumidor interessado em produtos orgânicos
GOSTARIA DE: Assinar um plano de entrega semanal de frutas e verduras
PARA: Receber produtos frescos em casa com regularidade e apoiar pequenos produtores locais","DADO QUE: O usuário está logado no aplicativo
E possui um endereço cadastrado
E há planos de assinatura disponíveis para sua região
QUANDO: O usuário acessa a aba de ""Assinaturas Semanais"" e seleciona um plano
ENTÃO: O plano é ativado com a confirmação da forma de pagamento
E o usuário passa a receber os produtos semanalmente no endereço escolhido","DADO QUE: O usuário está logado no aplicativo
E possui um endereço cadastrado
E não há planos de assinatura disponíveis para sua região
QUANDO: O usuário tenta assinar um plano semanal
ENTÃO: O sistema exibe uma mensagem informando que não há entregas disponíveis na região
E oferece a opção de ser notificado quando houver disponibilidade",2,10,Note que o fluxo nolmal e alternativo é quase idêntico do da linha 22 (acima). Falta de criatividade ou págio?,10,,10,86,Boa aderência ao template e enunciado; faltou título e um pouco mais de distinção criativa entre fluxos.
P006,G2,2 - GreenMarket,No,"Titulo: Compra de produtos
DESCRIÇÃO
EU COMO: Comprador
GOSTARIA DE: Comprar produtos no sistema
PARA: Adquirir novos produtos","CASOS DE USO (Fluxo principal)
DADO QUE: Eu realizei uma compra 
E … E … estou logado,
QUANDO: clico no botão de confirmar compra 
ENTÃO: eu quero poder acompanhar a entrega do produto","CASOS DE USO (Fluxo alternativo)
DADO QUE: Eu realizei uma compra 
E … E … não estou logado,
QUANDO: clico no botão de confirmar compra 
ENTÃO: eu quero poder realizar a autenticação no sistema e acompanhar a entrega do produto",7,10,"Aplicou o conceito corretamente, apesar de pequedo erro de uso do template (E... E...)",5,Tratou duas situações diferentes. O alternativo para um fluxo principal.,7.5,66,"Escrita confusa, template mal aplicado, fluxos pouco realistas e repetitivos; precisa de revisão estrutural."
P007,G2,2 - GreenMarket,No,Usuário consumidor analisa seu histórico de pedidos,"DESCRIÇÃO
EU COMO: Usuário consumidor
GOSTARIA DE: Analisar meu histórico de pedidos
PARA: Que eu possa ter controle dos meus gastos","DADO QUE: O usuário consumidor esteja logado
E: Previamente tenha realizado alguma compra
QUANDO: Acessar a aba de histórico de pedidos
E: Definir um período de análise 
ENTÃO: Terá acesso a todo o histórico com base no período",8,5,Não usou o template para descrição.,5,Faltou a descrição da história do usuário.,5,88,"Fluxos claros, atende template; título pouco descritivo, mas funcionalidade bem apresentada."
P008,G2,2 - GreenMarket,No,"Aplicativo de Compra de Agro produtos
DESCRIÇÃO: Um aplicativo feito para os usuários acompanharem a origem dos produtos e oferece um sistema de assinatura para entregas semanais
EU COMO: Consumidor
GOSTARIA DE: Verificar quais vegetais estão em melhor preço
PARA: poder economizar","CASOS DE USO :Saber preço dos produtos 
DADO QUE: O usuário tem uma conta 
E esta logado nela 
QUANDO: clicar na tela na aba de preços
ENTÃO: terá um detalhamento sobre os produtos e preços dos mesmos.","CASOS DE USO : Tenta fazer o pedido sem explicitar os produtos
DADO QUE: O usuário esta logado na plataforma
E tentou realizar um pedido 
QUANDO: clicar no botão de compra
ENTÃO:  opção será dada como invalida e retornará ao menu",7,10,,5,Os fluxos tratam situações diferentes.,7.5,70,"Template mal formatado (título genérico), fluxo alternativo confuso e sem clareza."
P009,G1,2 - GreenMarket,Yes,"Ativação de assinatura semanal de produtos orgânicos

EU COMO: Consumidor interessado em produtos orgânicos
GOSTARIA DE: Ativar uma assinatura semanal de entrega de produtos
PARA: Garantir praticidade, regularidade nas entregas e manter uma alimentação saudável sem precisar realizar pedidos manuais toda semana
","DADO QUE: o usuário está logado no aplicativo
E já adicionou um conjunto de produtos orgânicos ao carrinho
E possui um endereço de entrega cadastrado
QUANDO: ele seleciona a opção ""Ativar entrega semanal"" no momento do checkout
ENTÃO: o sistema cria uma assinatura recorrente com entrega semanal, confirma a primeira entrega e envia uma notificação de confirmação ao usuário","DADO QUE: o usuário está logado no aplicativo
E tenta ativar a assinatura semanal durante o checkout
QUANDO: o sistema detecta que não há um endereço de entrega cadastrado
ENTÃO: o sistema exibe uma mensagem solicitando o cadastro de um endereço válido antes de prosseguir com a assinatura",6,10,,10,,10,90,Completo e coerente; cobre bem principal e alternativo; poderia inovar no alternativo.
P010,G1,2 - GreenMarket,Yes,"Título da História de Usuário:
Assinar Entrega Semanal de Produtos Orgânicos

DESCRIÇÃO
EU COMO: Consumidor interessado em produtos orgânicos
GOSTARIA DE: Assinar uma entrega semanal automática de frutas e verduras
PARA: Receber produtos frescos regularmente, sem precisar realizar pedidos manuais toda semana.","CASO DE USO (Fluxo Principal)
DADO QUE: Estou logado no aplicativo
E: Já cadastrei um endereço de entrega
E: Escolhi meus produtos orgânicos favoritos
QUANDO: Confirmo a opção de assinatura semanal na tela de pagamento
ENTÃO: O sistema agenda automaticamente a entrega semanal
E: Exibe um resumo da assinatura na área “Minhas Assinaturas”
E: Envia uma notificação por e-mail e no app com os detalhes da próxima entrega","CASO DE USO (Fluxo Alternativo)
DADO QUE: Estou logado no aplicativo
E: Ainda não cadastrei um endereço de entrega
QUANDO: Tento confirmar a assinatura semanal na tela de pagamento
ENTÃO: O sistema exibe um alerta solicitando o cadastro de endereço
E: Redireciona para a tela de cadastro de endereço antes de finalizar a assinatura",2,10,,10,,10,89,"Fluxos bem elaborados, segue template; falta mais distinção criativa entre os cenários."
